word	value
aaaa	0.1984006673320101
aaaaa	-0.07835978615425962
aalepatri	0.040766023806061175
aamposta	0.0013091712306169804
abad	-0.0168394016749838
abajo	-0.15007491106990953
abalorosa	-0.19330615023664535
abandonada	-0.2263312783005528
abandonadas	-0.04530661609957083
abandonado	-0.3440632450393432
abandonados	-0.054595012599729736
abandonar	-0.19328340613727654
abandonaron	0.20759806162577768
abandones	-0.4975416633572221
abandono	-0.9053788642783568
abandonos	-0.4134707205769012
abar	-0.31308670918757536
abaratar	0.07878410748098838
abasto	-0.0260324064220102
abatido	0.04084996839967536
abatirse	-0.03165944117643265
abcdesevilla	-0.4736376119343178
abel	-0.08302365945766314
aberración	0.018188309710496568
abeto	-0.1585437236507639
abierta	-0.0040725911727012105
abiertas	0.4349372395566615
abierto	0.057855884010316425
abiertos	0.7402053725445266
ables	-0.050257231126617584
abofetear	-0.11490346661093033
abogados	-0.054481435875641235
abonos	0.0347843191741823
abordar	0.06255901695351343
aborrecer	-0.08227888711682535
aborrecimiento	0.5649641511242781
about	-0.052834009262930456
abra	0.4252895831058887
abrace	-0.09420759424698401
abracemos	0.1804354938095448
abracen	-0.12164098765155255
abraham	0.6397482999576463
abrahammateo	0.04363202075537461
abramos	0.2778456412244615
abran	-0.19676891965370566
abrasador	-0.022054885901730804
abraza	-0.5163823489084527
abrazamos	0.3951294708532265
abrazando	-0.05124769712437776
abrazar	0.9199314116450832
abrazarlos	0.3149871223951497
abrazarse	-0.5157697371683014
abrazarte	0.40221180843410304
abrazo	-0.07516490052841956
abrazon	0.9999928008210756
abrazote	0.7259792275247611
abre	0.004427656211989873
abren	0.2274763655222325
abres	-0.1562894527681871
abri	-0.1456260067685905
abriendo	0.03211037495084588
abrieron	0.8116506145116559
abrigo	0.1052709874100771
abril	0.7255813200559245
abrimos	0.2990192049503008
abrir	0.06954217227506697
abriremos	0.4108467206480703
abro	0.4706217588696406
abrumar	-0.16019812602273634
absolutamente	0.13986116919039146
absoluto	-0.6262652424107961
absolver	-0.013977881709340549
abuchear	-0.1019230498955553
abuela	-0.21559263382613555
abuelas	0.4901270961665977
abuelita	0.582380888943819
abuelitalizz	0.4279281549847652
abuelito	0.0012522318628004642
abuelitos	0.4980247938972587
abuelo	0.6352597182669624
abuelos	0.04333570564145184
abundancia	0.18339031739030065
abundante	0.41902694632405785
abundantes	-0.18559700200274407
abundar	0.1272021023891603
aburr	0.06720438084214278
aburrida	0.22434491918010666
aburridas	0.02968111755391196
abuso	-0.08487288661445108
abusos	-0.8691950824947184
abyectamente	0.09095467543576297
acab	-0.011463241464822234
acaba	0.0906209010213124
acabado	0.15588371541704893
acabamos	0.16400382570922445
acaban	0.5256726303683602
acabando	-0.5974748301173682
acabar	-0.00580261843577646
acabaron	-0.2528013111778635
acabas	0.28926727596955976
acabe	-0.02292452202346961
acaben	-0.16185969206114414
acabo	-0.021641348918490472
acad	0.1618870254858863
academia	0.6721328859572181
acaip	0.28279342726023443
acaso	-0.4903145663299129
acatar	-0.12499469155442122
acayucan	0.15598479416100314
acbdo	-0.1730174469873969
accede	-0.29740163291623906
acceder	-0.010138637198633359
acces	0.11814641966160253
accesible	-0.1640415931738219
accesibles	0.12284873610959265
accesorios	0.08708265962077053
access	-0.07319218863485435
acci	-0.0317345000444542
accidente	-0.0051372446595986465
accidentes	-0.7956946681832326
accion	-0.0739551180317794
acciones	-0.2260421929291919
accionnacional	0.02557523917452539
account	0.06208159682171242
acdemusica	-0.4751280228344375
aceite	0.11083915361086397
aceituna	-0.2024130924612624
acepta	0.10984041509751846
aceptable	-0.0017872204846086765
aceptaci	0.015061130479956891
aceptan	-0.1351480727246326
aceptar	-0.4291897726288803
acepto	-0.34435592181736
acera	0.23779861076424716
acerc	-0.012282571443862227
acerca	0.3819347524680989
acercado	0.2481071294766189
acercamiento	-0.07890286544798851
acercamos	0.014962427572207216
acercando	-0.07872297405181869
acercar	-0.05721737343169093
acercarnos	-0.02547634875256142
acercaron	0.8264284839401219
acercarse	0.004085973420917078
acero	-0.09734574902167284
acerquen	-0.2685613142925107
acertar	-0.2974440563658719
achachay	0.2513481381831115
acierto	0.3839108246885435
aclamación	0.4157048338964565
aclararse	-0.06260310603540482
acobardar	-0.32927135344719183
acogedor	0.07538590093758624
acoger	-0.25758171209616776
acogida	0.04438965037055511
acojonado	0.11947203019795573
acomodarse	-0.0063304159103218715
acomp	0.15838056953713014
acompa	-0.2216999919340293
acongojar	0.2493839567861796
aconstruirelplandelapatria	-0.0011909279928120702
acontecimiento	-0.13506503472170842
acontecimientos	0.3383159084700921
acopio	-0.6194782483194713
acord	0.16818148582820364
acordaba	-0.06776607677756141
acordado	0.7721465238412006
acordamos	0.10458994027510883
acordar	-0.14299820658030124
acordarme	0.0034645665400904733
acordarse	0.04725282542529111
acordarte	-0.004635318522090837
acordemos	-0.04162468784671476
acortarse	-0.07799696237317846
acost	-0.0043248634246967855
acosta	0.2275773922719597
acostaars	0.005496742462026737
acostada	0.19531390774858184
acostar	0.043110220278248366
acostumbradas	0.011094805464421282
acostumbrado	-0.1200310082482314
acostumbrados	0.3551965192758583
acritud	0.02010421785687071
actitud	0.05055149206122708
actitudes	-0.1794454942445668
activa	0.8451937894088875
activado	0.10680025456476236
actividad	-0.2143575362245493
actividades	0.3174039619010171
activista	0.16518130550189872
activo	-0.052304294563155884
activos	0.5387784610899731
acto	0.6091076942619178
actor	-0.01117578258931985
actores	0.904153484430528
actos	0.2245207635055328
actrices	0.003040565206796032
actriz	0.16761972029902286
actuaci	0.3838738339757453
actuaciones	0.22467266258817367
actual	-0.4294902888757852
actuales	0.015378257812292084
actualidad	-0.01801050377138349
actualidadrt	-0.017434351022973103
actualizaci	0.016721223945218376
actually	0.1808715721638613
actualmente	0.5726725579319908
actuar	-0.025632908878261525
acuario	-0.25019534608299343
acuchillar	0.017133581911715733
acuden	-0.0975547186377974
acudi	0.5429264847632939
acudieron	0.41779892094735294
acudir	-0.06924686630890144
acuerda	0.2788317205588513
acuerdan	-0.021326632635799828
acuerdas	0.2033905817020787
acuerde	-0.4747689367044664
acuerden	-0.09586330964647033
acuerdo	-0.045724300036076734
acuerdos	-0.023965232185957943
acusación	0.10026006101673834
acusar	-0.04679545930002741
acusica	-0.054716142938169725
adacolau	-0.3302171944503793
adapta	0.1088691108481785
adaptaci	0.722495083776803
adassuscristina	0.1800743667044891
adecuada	-0.3688693389964624
adecuadamente	-0.04592424164528841
adecuado	0.5708001947471179
adelant	0.3915276208392719
adelanta	0.20444636097535016
adelantada	-0.3702134745624543
adelantado	0.6878680879752924
adelantamos	0.7303921018526495
adelantan	-0.8003221135566452
adelantar	0.002869775356128881
adelantaron	0.06036745322648701
adelante	0.12224733163070828
adelanto	0.5270876456171469
adelgazar	0.06862113222745662
adem	0.540831807469699
ademas	0.24999564640187066
adenavidad	0.25806018847896633
adentro	-0.012305318207113222
adereyes	-0.3275125701799276
adherente	0.5642175371042574
adicción	-0.13129141643405706
adicto	0.6240654292703545
adidas	-0.02674476817011097
adido	-0.09400825842007368
adir	0.4031024763827343
adirecto	0.1431840575682896
adityasingh	-0.0875020934031425
adivina	0.006537483958026955
adivinar	0.004311219933497814
adivinen	0.3576067628515305
adiós	0.1749985360165516
adjunto	-0.00810686126360341
administrativa	-0.7117973550358464
administrativo	-0.010485808951329324
administrativos	-0.0023279438270751504
admirable	0.2817266177933864
admiraci	0.4309165704662642
admiración	-0.459454830240413
admirador	0.4584112159530938
admiro	0.26863965534681084
admiten	-0.06076419928747084
admitir	-0.15697128183054693
adoctrinamiento	-0.1470810070660511
adoctrinar	-0.16358549592788707
adolescencia	0.02743377361157477
adolescente	-0.3361202402049069
adolescentes	0.4488400937670847
adolfo	-0.3200317699617291
adonis	0.005262228597624641
adopcion	0.633867148083365
adopciones	-0.14327262946604055
adopta	0.017412748486485125
adoptado	-0.0026271565228833953
adoptados	0.37621929743472826
adoptanocompres	-0.030285940037336083
adoptar	0.033167581736251193
adopte	-0.34340667551692344
ador	-0.4628241563518487
adora	-0.0048360629959919455
adorable	-0.05081143589643616
adorables	0.8316948488640092
adoraci	-0.08293994917592769
adoración	-0.17891903312470994
adorado	-0.3676190800985128
adoramos	-0.012437543714610642
adoran	0.29398659271223304
adorar	-0.7914372177432679
adorarlo	0.2422613419981465
adores	0.9807472441502983
adornadas	0.09946093712889814
adornado	0.015576165442034894
adornar	0.24426138686376306
adorno	-0.34166297236845444
adornos	0.07097420592589636
adoro	0.3481288660751363
ados	0.9371164239867368
adqui	0.34231616260687625
adquirir	0.0149291303366118
adrenalina	0.3437045466429064
adri	0.18906565175636075
adrian	0.09740316683115843
adriana	-0.16250265426532778
adrianajnunez	0.3816698072042111
adriane	-0.04001320322457457
adrianecampagna	0.08544052345972843
adue	-0.07551593727035277
adulación	0.08838776366281043
adulteración	0.07652496386502107
adulterar	-0.04949441397810802
adultos	0.03621005985306672
adversario	0.4055210203123356
adversidad	0.05463034445806193
adversidades	0.4243935800350659
adverso	0.4476400669050471
advierte	0.01627308203361739
aeeonline	0.30651668499919
aemet	0.006488391912906665
aena	-0.5617134720760518
aeropuerto	-0.0101887864302941
aeropuertos	-0.08600493269326566
afabilidad	0.23571970772008516
afecta	-0.08636932380388472
afectada	-0.3522440293095459
afectadas	-0.4482173486168348
afectados	0.05303322703870083
afectar	-0.014321641945900004
afecto	-0.040970112697827035
afectos	0.7912525842211169
afectuoso	-0.15256552458956682
afici	0.8536317629457556
aficionado	0.6437747583791675
aficionados	0.17267148534700194
afición	0.2905659335149657
afincada	0.8959515103521093
afinidad	0.0024963750133279107
afirma	-0.03168863642140414
afirmación	-0.3420244437001016
aflicción	-0.011934766833175335
afligir	-0.019132252100559598
aforo	0.10696348394577318
afortunada	-0.3723792247036221
afortunadamente	-0.014580680161921981
afortunado	-0.16483158952554453
afortunados	-0.05861462433160525
afrentar	0.04130411507016818
afrontar	-0.10187211387362376
after	-0.2407134759866596
afuera	-0.2382514449842701
again	-0.059008793677481776
against	0.05304146481660417
agarr	-0.004380044278247328
agarra	-0.02217580911087116
agarrada	-0.013947787861854709
agarre	0.20356647405147266
agarren	0.12834500373268265
agarro	0.09625192470934688
agarzon	0.044488687467897976
agasajar	-0.13036243872117773
agasajo	-0.4443681376470225
agasajos	0.5698874923240622
agathachry	0.09282945310598882
agencia	0.15394177886928576
agenciaiisi	-0.0013927147950435407
agendas	-0.00809996986779034
agente	0.07041061224596598
agentes	0.0508071975278178
ageyp	-0.6625979905449132
agilidad	0.0013623053062991573
agilmente	0.24478374868680255
agnostica	0.21566005471799665
agolpamiento	0.0031455192438767147
agosto	-0.009550903220270659
agotadas	-0.3104144019427141
agotado	0.13138749800775668
agotador	0.12085635732282457
agotadoramente	0.028880141992650824
agraciado	-0.04778254392797584
agraciados	-0.06508834888983944
agrada	-0.10662575215253678
agradable	0.1652739598279153
agradablemente	0.9597133628608706
agradar	0.5408956752656635
agradec	0.0915160168074695
agradece	0.9653365872162232
agradecemos	0.8219017339104046
agradecen	0.7849357472789109
agradecer	0.2274409127062606
agradecerle	0.9146067240227634
agradecerles	0.2045439524560796
agradeceros	0.7647089964863178
agradecerte	0.5624681811157566
agradeci	-0.4421800692300051
agradecida	0.02214605269841227
agradecido	0.8377145858946479
agradecidos	0.8883682288291243
agradeciendo	0.9199006743573391
agradecimiento	0.11552802334865715
agradecimientos	0.9343489639595159
agradezcan	-0.034212409346551634
agradezco	-0.3397333285858769
agrado	0.7691503067686396
agrandar	0.2347742087467979
agravamiento	-0.08832610903275599
agregar	-0.002432208243466503
agresi	-0.012990400077497266
agresiones	-0.1530798758388577
agresivo	-0.3052544004067509
agriamente	-0.1114227888467677
agrietar	-0.08267676191387839
agrupaciones	0.13700380449894306
aguacate	-0.09128536754050533
aguanta	-0.20488783833537916
aguantan	-0.002741212293387528
aguantando	-0.22149607666008836
aguantar	-0.02220306627241721
aguantarme	0.06282569118896499
aguante	-0.0812415698932197
aguanten	0.12443369618175755
aguas	-0.0385234758691258
agudogmail	-0.31169962924971223
aguer	0.14067847744694112
aguijón	0.1445061449669178
aguilando	-0.02815164132276337
aguilera	0.07114605382721857
aguiltarosa	-0.05794128637260285
aguinaldo	-0.14162632895881078
aguinaldocongustavosanchez	0.053783299980321865
aguinaldos	-0.8075627089561314
aguirre	0.29541178739382873
agus	-0.1882388869754753
agust	-0.11795504934875163
agustin	0.18800734203161326
agustina	0.21767631253178507
agustinfariape	-0.07738866631985943
ahhh	-0.5223621589272666
ahhhh	0.004035459050020968
ahogar	0.2494894027770289
ahoramadrid	0.02076132029186887
ahorapodemos	0.3571903967701193
ahorita	-0.045172189431404684
ahorra	-0.021798861440597145
ahorro	0.07073151500128894
ahorros	0.33802780337250343
ahre	0.4599079965830349
aida	-0.0026973829216586807
aide	-0.3508511668073693
aiditavc	0.10751777378742193
ailed	0.0245767476578434
airado	0.016276012492513408
aires	-0.16730192696819546
aitana	0.00819275655643074
aiteda	0.3146278600544089
ajcopticos	-0.009894978407706949
ajena	0.013226563048238995
ajenas	0.0019872860487164267
ajeno	-0.02585001886467974
ajenos	-0.00728881770610039
ajetreado	-0.030066539501550832
ajuste	0.35740176916745703
akiraokinawa	0.10429143707338193
akyurek	-0.006237336178177417
akyurekmrs	0.09922923751797356
alabanza	-0.0076697892636100155
alabar	0.06327407809885595
alado	0.864563011852326
alados	-0.2605149574308586
alaire	0.14564823367554516
alam	0.03099054875383458
alameda	-0.0376107108195026
alamoluna	-0.1546155285307176
alanmagneto	0.023019770737509413
alanponce	-0.08479409440001673
alarcon	-0.085421481013291
alarma	0.2682449845244807
alarmante	-0.16342799147790876
alasvias	-0.03542739412561749
alaura	-0.008690077507918458
alav	0.027723496759589333
albacete	0.17025014316621032
albaluciaparamo	-0.11927269839927072
albaristina	0.0030104970688362128
albergues	-0.014037501347323324
albert	0.31872518472338124
alberto	-0.009113707724392628
albertoalcocer	0.3825388852215131
albertofujimori	-0.03218403985262562
albertomiramar	0.01685060540323944
albertonunez	0.001108572929304287
